Test name	Type	timeMin	ReqCou	GrCou	Max TP	softOR	StWdsFlt	TruePositive	Precision	Recall	Accuracy	Error	F-measure	APres@5	APres@10	APres@20	APres@50	AveragePres	nDCG@5	nDCG@10	nDCG@20	nDCG@50	nDCG	MRR
как открыть вклад	InfoSearch	1.02	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.6	0.3944	0.3322	0.5176	0.6077	0.7227	0.5989	0.5662	0.7351	0.7909	1.0
как открыть вклад	InfoSearch&W2V(avg)	1.13	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.6433	0.5208	0.6601	0.6583	0.6696	0.786	0.7094	0.8124	0.8054	0.8128	1.0
как открыть вклад	InfoSearch&W2V(avg10)	1.15	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.3333	0.473	0.4706	0.5213	0.6176	0.5087	0.6812	0.6828	0.7203	0.7898	1.0
как открыть вклад	InfoSearch&W2V(max)	1.15	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.6	0.4796	0.5057	0.6304	0.6479	0.7227	0.6754	0.7187	0.8025	0.8096	1.0
как открыть вклад	InfoSearch&W2V(stopW+avg)	1.14	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.76	0.6842	0.6807	0.6691	0.6782	0.8539	0.8268	0.8218	0.8239	0.8261	1.0
как открыть вклад	InfoSearch&W2V(stopW+max)	1.2	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.6	0.4796	0.5057	0.6289	0.6471	0.7227	0.6754	0.7187	0.8022	0.8095	1.0

Что может помешать выплатить мне кредит досрочно?	InfoSearch	0.15	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	0.6433	0.3717	0.4692	0.4585	0.4801	0.786	0.5737	0.6885	0.6764	0.6958	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg)	0.36	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	0.6	0.5909	0.5799	0.5219	0.523	0.7227	0.7564	0.7681	0.7223	0.7249	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg10)	0.34	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	1.0	0.8789	0.7366	0.591	0.5711	1.0	0.9306	0.8493	0.7651	0.7516	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(max)	0.31	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	1.0	1.0	0.9253	0.7695	0.6634	1.0	1.0	0.9616	0.8621	0.7787	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+avg)	0.28	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	0.42	0.4758	0.4824	0.467	0.4872	0.6164	0.6777	0.684	0.6754	0.6948	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+max)	0.38	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	1.0	1.0	0.8777	0.707	0.6366	1.0	1.0	0.9296	0.8278	0.7723	1.0

Что может помешать выплатить мне кредит досрочно?	InfoSearch	1.51	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	1.0	1.0	1.0	0.9678	0.9186	1.0	1.0	1.0	0.9839	0.9525	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg)	2.4	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	0.5433	0.7071	0.8201	0.8045	0.8679	0.6608	0.7799	0.858	0.8618	0.9262	0.5
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg10)	2.32	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	0.6433	0.7571	0.8451	0.8848	0.8961	0.786	0.8611	0.9104	0.9339	0.9401	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(max)	2.34	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	1.0	1.0	0.9253	0.9256	0.9131	1.0	1.0	0.9616	0.9641	0.9503	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+avg)	2.18	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	0.5433	0.7071	0.7458	0.7797	0.8731	0.6608	0.7799	0.8183	0.854	0.9262	0.5
